Market,Vertical,concat,count_days,days_tweeted,total_vits,total_tweeting_vits,total_tweets,percent_days_tweeted,tweets_per_day,tweets_per_vit,tweets_per_day_per_vit,total_rts,rts_per_tweet,total_replies,replies_per_tweet,total_tweets_w_pics,pics_per_vit,pics_per_day,pics_per_vit_per_day,total_tweets_w_gifs,gifs_per_vit,gifs_per_day,gifs_per_vit_per_day,total_tweets_w_video,video_per_vit,video_per_day,video_per_vit_per_day
IN,Sports,IN|Sports,41.00,41.00,333.00,295.00,27136.00,100%,661.85,91.99,2.24,"9,173",0.34,"4,659",0.17,"16,424",55.67,400.59,1.36,557,1.89,13.59,0.05,609,2.06,14.85,0.05
IR,Sports,IR|Sports,41.00,24.00,5.00,4.00,48.00,59%,2,12,0.5,35,0.73,5,0.1,52,13,2.17,0.54,0,0,0,0,4,1,0.17,0.04
IS,Sports,IS|Sports,41.00,41.00,4.00,4.00,425.00,100%,10.37,106.25,2.59,170,0.4,77,0.18,289,72.25,7.05,1.76,8,2,0.2,0.05,11,2.75,0.27,0.07
IT,Sports,IT|Sports,41.00,41.00,382.00,329.00,53266.00,100%,"1,299.17",161.9,3.95,"9,986",0.19,"6,035",0.11,"27,622",83.96,673.71,2.05,"1,017",3.09,24.8,0.08,"1,158",3.52,28.24,0.09
JM,Sports,JM|Sports,41.00,39.00,9.00,6.00,141.00,95%,3.62,23.5,0.6,178,1.26,33,0.23,158,26.33,4.05,0.68,11,1.83,0.28,0.05,16,2.67,0.41,0.07
JO,Sports,JO|Sports,41.00,20.00,3.00,2.00,50.00,49%,2.5,25,1.25,50,1,1,0.02,87,43.5,4.35,2.18,0,0,0,0,7,3.5,0.35,0.18
JP,Sports,JP|Sports,41.00,41.00,1032.00,718.00,41002.00,100%,"1,000.05",57.11,1.39,"15,682",0.38,"11,447",0.28,"39,072",54.42,952.98,1.33,319,0.44,7.78,0.01,"1,321",1.84,32.22,0.04
KE,Sports,KE|Sports,41.00,41.00,18.00,13.00,2566.00,100%,62.59,197.38,4.81,"1,220",0.48,168,0.07,"1,876",144.31,45.76,3.52,8,0.62,0.2,0.02,21,1.62,0.51,0.04
KR,Sports,KR|Sports,41.00,41.00,82.00,52.00,4049.00,100%,98.76,77.87,1.9,262,0.06,429,0.11,"1,773",34.1,43.24,0.83,12,0.23,0.29,0.01,361,6.94,8.8,0.17
KW,Sports,KW|Sports,41.00,41.00,37.00,30.00,1013.00,100%,24.71,33.77,0.82,293,0.29,444,0.44,370,12.33,9.02,0.3,6,0.2,0.15,0,70,2.33,1.71,0.06
KY,Sports,KY|Sports,41.00,6.00,1.00,1.00,9.00,15%,1.5,9,1.5,2,0.22,2,0.22,11,11,1.83,1.83,0,0,0,0,1,1,0.17,0.17
KZ,Sports,KZ|Sports,41.00,14.00,2.00,2.00,23.00,34%,1.64,11.5,0.82,15,0.65,11,0.48,20,10,1.43,0.71,0,0,0,0,0,0,0,0
LB,Sports,LB|Sports,41.00,41.00,3.00,3.00,1002.00,100%,24.44,334,8.15,345,0.34,5,0,885,295,21.59,7.2,1,0.33,0.02,0.01,12,4,0.29,0.1
LK,Sports,LK|Sports,41.00,40.00,12.00,10.00,453.00,98%,11.33,45.3,1.13,94,0.21,147,0.32,231,23.1,5.78,0.58,3,0.3,0.08,0.01,13,1.3,0.33,0.03
LT,Sports,LT|Sports,41.00,30.00,11.00,7.00,88.00,73%,2.93,12.57,0.42,47,0.53,45,0.51,88,12.57,2.93,0.42,0,0,0,0,6,0.86,0.2,0.03
LU,Sports,LU|Sports,41.00,40.00,3.00,2.00,503.00,98%,12.58,251.5,6.29,132,0.26,66,0.13,536,268,13.4,6.7,2,1,0.05,0.03,76,38,1.9,0.95
LV,Sports,LV|Sports,41.00,41.00,8.00,8.00,468.00,100%,11.41,58.5,1.43,97,0.21,125,0.27,433,54.13,10.56,1.32,4,0.5,0.1,0.01,4,0.5,0.1,0.01
MA,Sports,MA|Sports,41.00,6.00,1.00,1.00,6.00,15%,1,6,1,1,0.17,0,0,4,4,0.67,0.67,0,0,0,0,3,3,0.5,0.5
MC,Sports,MC|Sports,41.00,41.00,29.00,27.00,1068.00,100%,26.05,39.56,0.96,526,0.49,411,0.38,792,29.33,19.32,0.72,26,0.96,0.63,0.02,77,2.85,1.88,0.07
MD,Sports,MD|Sports,41.00,34.00,5.00,3.00,158.00,83%,4.65,52.67,1.55,169,1.07,246,1.56,126,42,3.71,1.24,9,3,0.26,0.09,15,5,0.44,0.15
MK,Sports,MK|Sports,41.00,1.00,2.00,1.00,1.00,2%,1,1,1,6,6,5,5,4,4,4,4,0,0,0,0,0,0,0,0
MM,Sports,MM|Sports,41.00,0.00,1.00,0.00,0.00,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,Sports,MO|Sports,41.00,20.00,1.00,1.00,48.00,49%,2.4,48,2.4,35,0.73,22,0.46,18,18,0.9,0.9,1,1,0.05,0.05,1,1,0.05,0.05
MQ,Sports,MQ|Sports,41.00,31.00,3.00,3.00,189.00,76%,6.1,63,2.03,"1,854",9.81,106,0.56,"1,645",548.33,53.06,17.69,40,13.33,1.29,0.43,48,16,1.55,0.52
MT,Sports,MT|Sports,41.00,0.00,2.00,0.00,0.00,0%,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MU,Sports,MU|Sports,41.00,0.00,1.00,0.00,0.00,0%,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
MX,Sports,MX|Sports,41.00,41.00,313.00,288.00,84224.00,100%,"2,054.24",292.44,7.13,"16,765",0.2,"11,784",0.14,"58,599",203.47,"1,429.24",4.96,"3,705",12.86,90.37,0.31,"3,955",13.73,96.46,0.33
MY,Sports,MY|Sports,41.00,41.00,11.00,8.00,840.00,100%,20.49,105,2.56,624,0.74,214,0.25,"1,214",151.75,29.61,3.7,14,1.75,0.34,0.04,33,4.13,0.8,0.1
NA,Sports,NA|Sports,41.00,15.00,5.00,1.00,18.00,37%,1.2,18,1.2,8,0.44,0,0,7,7,0.47,0.47,0,0,0,0,1,1,0.07,0.07
NE,Sports,NE|Sports,41.00,41.00,11.00,7.00,607.00,100%,14.8,86.71,2.11,97,0.16,168,0.28,187,26.71,4.56,0.65,1,0.14,0.02,0,10,1.43,0.24,0.03
NG,Sports,NG|Sports,41.00,41.00,27.00,22.00,11023.00,100%,268.85,501.05,12.22,"3,049",0.28,901,0.08,"6,312",286.91,153.95,7,28,1.27,0.68,0.03,113,5.14,2.76,0.13
NI,Sports,NI|Sports,41.00,24.00,1.00,1.00,39.00,59%,1.63,39,1.63,140,3.59,29,0.74,117,117,4.88,4.88,1,1,0.04,0.04,10,10,0.42,0.42
NL,Sports,NL|Sports,41.00,41.00,360.00,312.00,24041.00,100%,586.37,77.05,1.88,"6,080",0.25,"5,723",0.24,"16,211",51.96,395.39,1.27,94,0.3,2.29,0.01,"1,018",3.26,24.83,0.08
NO,Sports,NO|Sports,41.00,41.00,62.00,40.00,917.00,100%,22.37,22.93,0.56,688,0.75,821,0.9,401,10.03,9.78,0.24,2,0.05,0.05,0,35,0.88,0.85,0.02
NP,Sports,NP|Sports,41.00,33.00,2.00,1.00,62.00,80%,1.88,62,1.88,0,0,"1,755",28.31,4,4,0.12,0.12,0,0,0,0,0,0,0,0
NR,Sports,NR|Sports,41.00,2.00,1.00,1.00,2.00,5%,1,2,1,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
NZ,Sports,NZ|Sports,41.00,41.00,312.00,222.00,5739.00,100%,139.98,25.85,0.63,"3,498",0.61,"1,591",0.28,"2,954",13.31,72.05,0.32,55,0.25,1.34,0.01,245,1.1,5.98,0.03
OM,Sports,OM|Sports,41.00,36.00,2.00,1.00,133.00,88%,3.69,133,3.69,0,0,0,0,3,3,0.08,0.08,0,0,0,0,0,0,0,0
PA,Sports,PA|Sports,41.00,41.00,8.00,7.00,5331.00,100%,130.02,761.57,18.57,"2,994",0.56,266,0.05,"5,061",723,123.44,17.63,218,31.14,5.32,0.76,435,62.14,10.61,1.52
PE,Sports,PE|Sports,41.00,40.00,5.00,5.00,470.00,98%,11.75,94,2.35,280,0.6,94,0.2,342,68.4,8.55,1.71,3,0.6,0.08,0.02,7,1.4,0.18,0.04
PG,Sports,PG|Sports,41.00,3.00,1.00,1.00,4.00,7%,1.33,4,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH,Sports,PH|Sports,41.00,41.00,7.00,6.00,546.00,100%,13.32,91,2.22,"1,859",3.4,644,1.18,529,88.17,12.9,2.15,90,15,2.2,0.37,35,5.83,0.85,0.14
PK,Sports,PK|Sports,41.00,41.00,29.00,24.00,735.00,100%,17.93,30.63,0.75,356,0.48,149,0.2,"1,050",43.75,25.61,1.07,2,0.08,0.05,0,38,1.58,0.93,0.04
PL,Sports,PL|Sports,41.00,41.00,28.00,26.00,1617.00,100%,39.44,62.19,1.52,700,0.43,364,0.23,"1,375",52.88,33.54,1.29,17,0.65,0.41,0.02,100,3.85,2.44,0.09
PR,Sports,PR|Sports,41.00,36.00,6.00,6.00,166.00,88%,4.61,27.67,0.77,136,0.82,26,0.16,104,17.33,2.89,0.48,4,0.67,0.11,0.02,16,2.67,0.44,0.07
PT,Sports,PT|Sports,41.00,41.00,46.00,41.00,9711.00,100%,236.85,236.85,5.78,"1,822",0.19,458,0.05,"4,731",115.39,115.39,2.81,116,2.83,2.83,0.07,196,4.78,4.78,0.12
PY,Sports,PY|Sports,41.00,41.00,25.00,19.00,4818.00,100%,117.51,253.58,6.18,734,0.15,280,0.06,"2,952",155.37,72,3.79,9,0.47,0.22,0.01,155,8.16,3.78,0.2
QA,Sports,QA|Sports,41.00,41.00,39.00,38.00,3607.00,100%,87.98,94.92,2.32,"2,354",0.65,"1,212",0.34,"3,726",98.05,90.88,2.39,34,0.89,0.83,0.02,362,9.53,8.83,0.23
RO,Sports,RO|Sports,41.00,41.00,14.00,12.00,1777.00,100%,43.34,148.08,3.61,166,0.09,128,0.07,381,31.75,9.29,0.77,3,0.25,0.07,0.01,13,1.08,0.32,0.03
RS,Sports,RS|Sports,41.00,41.00,14.00,12.00,789.00,100%,19.24,65.75,1.6,276,0.35,61,0.08,609,50.75,14.85,1.24,5,0.42,0.12,0.01,27,2.25,0.66,0.05
RU,Sports,RU|Sports,41.00,41.00,217.00,186.00,37684.00,100%,919.12,202.6,4.94,"6,877",0.18,"5,936",0.16,"24,128",129.72,588.49,3.16,492,2.65,12,0.06,"1,110",5.97,27.07,0.15
RW,Sports,RW|Sports,41.00,34.00,1.00,1.00,169.00,83%,4.97,169,4.97,4,0.02,21,0.12,22,22,0.65,0.65,0,0,0,0,0,0,0,0
SA,Sports,SA|Sports,41.00,41.00,99.00,82.00,11892.00,100%,290.05,145.02,3.54,"3,756",0.32,"7,366",0.62,"16,229",197.91,395.83,4.83,94,1.15,2.29,0.03,449,5.48,10.95,0.13
SE,Sports,SE|Sports,41.00,41.00,124.00,84.00,2476.00,100%,60.39,29.48,0.72,796,0.32,"1,037",0.42,"1,323",15.75,32.27,0.38,21,0.25,0.51,0.01,115,1.37,2.8,0.03
SG,Sports,SG|Sports,41.00,41.00,22.00,12.00,1705.00,100%,41.59,142.08,3.47,268,0.16,524,0.31,827,68.92,20.17,1.68,158,13.17,3.85,0.32,50,4.17,1.22,0.1
SI,Sports,SI|Sports,41.00,41.00,13.00,12.00,1204.00,100%,29.37,100.33,2.45,209,0.17,44,0.04,942,78.5,22.98,1.91,7,0.58,0.17,0.01,50,4.17,1.22,0.1
SK,Sports,SK|Sports,41.00,41.00,3.00,3.00,174.00,100%,4.24,58,1.41,11,0.06,4,0.02,40,13.33,0.98,0.33,1,0.33,0.02,0.01,1,0.33,0.02,0.01
SV,Sports,SV|Sports,41.00,41.00,2.00,2.00,624.00,100%,15.22,312,7.61,542,0.87,1,0,"1,964",982,47.9,23.95,0,0,0,0,122,61,2.98,1.49
SY,Sports,SY|Sports,41.00,11.00,1.00,1.00,19.00,27%,1.73,19,1.73,7,0.37,10,0.53,8,8,0.73,0.73,0,0,0,0,2,2,0.18,0.18
SZ,Sports,SZ|Sports,41.00,34.00,1.00,1.00,79.00,83%,2.32,79,2.32,6,0.08,0,0,29,29,0.85,0.85,0,0,0,0,8,8,0.24,0.24
TH,Sports,TH|Sports,41.00,41.00,12.00,9.00,667.00,100%,16.27,74.11,1.81,297,0.45,123,0.18,724,80.44,17.66,1.96,6,0.67,0.15,0.02,21,2.33,0.51,0.06
TN,Sports,TN|Sports,41.00,0.00,3.00,0.00,0.00,0%,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
TO,Sports,TO|Sports,41.00,21.00,3.00,2.00,24.00,51%,1.14,12,0.57,35,1.46,38,1.58,34,17,1.62,0.81,2,1,0.1,0.05,2,1,0.1,0.05
TR,Sports,TR|Sports,41.00,41.00,263.00,209.00,25026.00,100%,610.39,119.74,2.92,"5,288",0.21,"1,765",0.07,"22,807",109.12,556.27,2.66,118,0.56,2.88,0.01,652,3.12,15.9,0.08
TT,Sports,TT|Sports,41.00,39.00,7.00,7.00,1569.00,95%,40.23,224.14,5.75,123,0.08,47,0.03,408,58.29,10.46,1.49,1,0.14,0.03,0,4,0.57,0.1,0.01
TV,Sports,TV|Sports,41.00,41.00,14.00,13.00,2556.00,100%,62.34,196.62,4.8,853,0.33,260,0.1,"1,570",120.77,38.29,2.95,25,1.92,0.61,0.05,99,7.62,2.41,0.19
TW,Sports,TW|Sports,41.00,7.00,2.00,1.00,9.00,17%,1.29,9,1.29,0,0,0,0,3,3,0.43,0.43,0,0,0,0,3,3,0.43,0.43
TZ,Sports,TZ|Sports,41.00,19.00,2.00,2.00,68.00,46%,3.58,34,1.79,261,3.84,0,0,134,67,7.05,3.53,1,0.5,0.05,0.03,11,5.5,0.58,0.29
UA,Sports,UA|Sports,41.00,41.00,18.00,14.00,1197.00,100%,29.2,85.5,2.09,472,0.39,698,0.58,871,62.21,21.24,1.52,14,1,0.34,0.02,21,1.5,0.51,0.04
UG,Sports,UG|Sports,41.00,41.00,6.00,6.00,2557.00,100%,62.37,426.17,10.39,"1,808",0.71,549,0.21,"2,535",422.5,61.83,10.3,19,3.17,0.46,0.08,21,3.5,0.51,0.09
US,Sports,US|Sports,41.00,41.00,13774.00,11343.00,921631.00,100%,"22,478.80",81.25,1.98,"500,765",0.54,"370,244",0.4,"544,703",48.02,"13,285.44",1.17,"45,124",3.98,"1,100.59",0.1,"35,932",3.17,876.39,0.08
UY,Sports,UY|Sports,41.00,41.00,57.00,53.00,6471.00,100%,157.83,122.09,2.98,"2,327",0.36,659,0.1,"8,130",153.4,198.29,3.74,30,0.57,0.73,0.01,149,2.81,3.63,0.07
UZ,Sports,UZ|Sports,41.00,0.00,1.00,0.00,0.00,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VE,Sports,VE|Sports,41.00,41.00,17.00,17.00,19984.00,100%,487.41,"1,175.53",28.67,413,0.02,46,0,"16,529",972.29,403.15,23.71,3,0.18,0.07,0,120,7.06,2.93,0.17
VI,Sports,VI|Sports,41.00,32.00,1.00,1.00,103.00,78%,3.22,103,3.22,68,0.66,15,0.15,32,32,1,1,0,0,0,0,0,0,0,0
VN,Sports,VN|Sports,41.00,2.00,2.00,1.00,2.00,5%,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WS,Sports,WS|Sports,41.00,20.00,1.00,1.00,106.00,49%,5.3,106,5.3,14,0.13,1,0.01,32,32,1.6,1.6,0,0,0,0,1,1,0.05,0.05
ZA,Sports,ZA|Sports,41.00,41.00,226.00,171.00,18483.00,100%,450.8,108.09,2.64,"11,306",0.61,"5,790",0.31,"9,208",53.85,224.59,1.31,206,1.2,5.02,0.03,413,2.42,10.07,0.06
ZW,Sports,ZW|Sports,41.00,38.00,15.00,10.00,427.00,93%,11.24,42.7,1.12,73,0.17,26,0.06,180,18,4.74,0.47,1,0.1,0.03,0,8,0.8,0.21,0.02
,Sports,|Sports,41.00,41.00,20.00,19.00,1420.00,100%,34.63,74.74,1.82,459,0.32,271,0.19,"1,082",56.95,26.39,1.39,11,0.58,0.27,0.01,82,4.32,2,0.11
AE,Television,AE|Television,41.00,41.00,158.00,125.00,37653.00,100%,918.37,301.22,7.35,"10,425",0.28,"5,783",0.15,"20,787",166.3,507,4.06,127,1.02,3.1,0.02,"3,098",24.78,75.56,0.6
AF,Television,AF|Television,41.00,40.00,1.00,0.00,1043.00,98%,26.08,0,0,0,0,0,0,777,0,19.43,0,0,0,0,0,1,0,0.03,0
AG,Television,AG|Television,41.00,7.00,2.00,2.00,8.00,17%,1.14,4,0.57,2,0.25,1,0.13,2,1,0.29,0.14,0,0,0,0,0,0,0,0
AO,Television,AO|Television,41.00,0.00,1.00,0.00,0.00,0%,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
AP,Television,AP|Television,41.00,0.00,1.00,0.00,0.00,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Television,AR|Television,41.00,41.00,166.00,146.00,39727.00,100%,968.95,272.1,6.64,"21,787",0.55,"18,006",0.45,"38,465",263.46,938.17,6.43,"1,222",8.37,29.8,0.2,"1,558",10.67,38,0.26
AT,Television,AT|Television,41.00,41.00,11.00,10.00,2386.00,100%,58.2,238.6,5.82,854,0.36,"1,759",0.74,"1,117",111.7,27.24,2.72,31,3.1,0.76,0.08,39,3.9,0.95,0.1
AU,Television,AU|Television,41.00,41.00,542.00,431.00,42258.00,100%,"1,030.68",98.05,2.39,"19,947",0.47,"11,928",0.28,"22,374",51.91,545.71,1.27,"4,364",10.13,106.44,0.25,"1,381",3.2,33.68,0.08
BE,Television,BE|Television,41.00,41.00,55.00,47.00,9719.00,100%,237.05,206.79,5.04,"1,382",0.14,"1,422",0.15,"3,000",63.83,73.17,1.56,141,3,3.44,0.07,416,8.85,10.15,0.22
BG,Television,BG|Television,41.00,29.00,1.00,1.00,44.00,71%,1.52,44,1.52,0,0,2,0.05,34,34,1.17,1.17,0,0,0,0,1,1,0.03,0.03
BH,Television,BH|Television,41.00,39.00,2.00,2.00,179.00,95%,4.59,89.5,2.29,197,1.1,255,1.42,179,89.5,4.59,2.29,7,3.5,0.18,0.09,15,7.5,0.38,0.19
BO,Television,BO|Television,41.00,0.00,1.00,0.00,0.00,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Television,BR|Television,41.00,41.00,540.00,482.00,94783.00,100%,"2,311.78",196.65,4.8,"30,283",0.32,"25,165",0.27,"44,132",91.56,"1,076.39",2.23,"4,715",9.78,115,0.24,"2,104",4.37,51.32,0.11
BY,Television,BY|Television,41.00,26.00,1.00,1.00,40.00,63%,1.54,40,1.54,2,0.05,0,0,34,34,1.31,1.31,0,0,0,0,0,0,0,0
CA,Television,CA|Television,41.00,41.00,542.00,489.00,43141.00,100%,"1,052.22",88.22,2.15,"21,969",0.51,"21,249",0.49,"32,852",67.18,801.27,1.64,"2,355",4.82,57.44,0.12,"1,451",2.97,35.39,0.07
CH,Television,CH|Television,41.00,41.00,37.00,29.00,2964.00,100%,72.29,102.21,2.49,953,0.32,355,0.12,"1,085",37.41,26.46,0.91,50,1.72,1.22,0.04,109,3.76,2.66,0.09
CL,Television,CL|Television,41.00,41.00,32.00,28.00,16579.00,100%,404.37,592.11,14.44,"8,401",0.51,929,0.06,"15,361",548.61,374.66,13.38,"2,506",89.5,61.12,2.18,549,19.61,13.39,0.48
CN,Television,CN|Television,41.00,41.00,3.00,3.00,1051.00,100%,25.63,350.33,8.54,10,0.01,16,0.02,"1,011",337,24.66,8.22,13,4.33,0.32,0.11,10,3.33,0.24,0.08
CO,Television,CO|Television,41.00,41.00,89.00,74.00,41583.00,100%,"1,014.22",561.93,13.71,"18,180",0.44,"4,689",0.11,"23,700",320.27,578.05,7.81,972,13.14,23.71,0.32,"1,961",26.5,47.83,0.65
CY,Television,CY|Television,41.00,19.00,1.00,1.00,32.00,46%,1.68,32,1.68,137,4.28,12,0.38,73,73,3.84,3.84,0,0,0,0,0,0,0,0
CZ,Television,CZ|Television,41.00,16.00,2.00,2.00,24.00,39%,1.5,12,0.75,79,3.29,1,0.04,25,12.5,1.56,0.78,2,1,0.13,0.06,1,0.5,0.06,0.03
DE,Television,DE|Television,41.00,41.00,449.00,373.00,56018.00,100%,"1,366.29",150.18,3.66,"21,638",0.39,"11,891",0.21,"29,407",78.84,717.24,1.92,"1,326",3.55,32.34,0.09,"1,767",4.74,43.1,0.12
DK,Television,DK|Television,41.00,41.00,38.00,28.00,2987.00,100%,72.85,106.68,2.6,474,0.16,631,0.21,"2,425",86.61,59.15,2.11,20,0.71,0.49,0.02,85,3.04,2.07,0.07
DO,Television,DO|Television,41.00,40.00,3.00,2.00,687.00,98%,17.18,343.5,8.59,289,0.42,16,0.02,496,248,12.4,6.2,1,0.5,0.03,0.01,42,21,1.05,0.53
EC,Television,EC|Television,41.00,41.00,6.00,6.00,10427.00,100%,254.32,"1,737.83",42.39,"2,490",0.24,16,0,"7,483","1,247.17",182.51,30.42,312,52,7.61,1.27,753,125.5,18.37,3.06
EG,Television,EG|Television,41.00,41.00,31.00,27.00,16911.00,100%,412.46,626.33,15.28,"1,181",0.07,361,0.02,"8,348",309.19,203.61,7.54,11,0.41,0.27,0.01,179,6.63,4.37,0.16
ES,Television,ES|Television,41.00,41.00,511.00,448.00,102054.00,100%,"2,489.12",227.8,5.56,"46,861",0.46,"28,361",0.28,"86,337",192.72,"2,105.78",4.7,"2,376",5.3,57.95,0.13,"2,576",5.75,62.83,0.14
EU,Television,EU|Television,41.00,41.00,5.00,5.00,899.00,100%,21.93,179.8,4.39,231,0.26,216,0.24,914,182.8,22.29,4.46,11,2.2,0.27,0.05,6,1.2,0.15,0.03
FI,Television,FI|Television,41.00,41.00,49.00,38.00,10822.00,100%,263.95,284.79,6.95,"1,215",0.11,897,0.08,"4,031",106.08,98.32,2.59,34,0.89,0.83,0.02,208,5.47,5.07,0.13
FR,Television,FR|Television,41.00,41.00,555.00,465.00,78354.00,100%,"1,911.07",168.5,4.11,"37,432",0.48,"18,895",0.24,"75,891",163.21,"1,851.00",3.98,"3,978",8.55,97.02,0.21,"3,085",6.63,75.24,0.16
GB,Television,GB|Television,41.00,41.00,2143.00,1895.00,146747.00,100%,"3,579.20",77.44,1.89,"107,689",0.73,"113,877",0.78,"116,979",61.73,"2,853.15",1.51,"7,194",3.8,175.46,0.09,"6,241",3.29,152.22,0.08
GH,Television,GH|Television,41.00,41.00,7.00,7.00,6928.00,100%,168.98,989.71,24.14,"3,665",0.53,434,0.06,"1,394",199.14,34,4.86,5,0.71,0.12,0.02,38,5.43,0.93,0.13
GR,Television,GR|Television,41.00,41.00,2.00,2.00,207.00,100%,5.05,103.5,2.52,540,2.61,12,0.06,785,392.5,19.15,9.57,0,0,0,0,2,1,0.05,0.02
GT,Television,GT|Television,41.00,23.00,2.00,2.00,58.00,56%,2.52,29,1.26,80,1.38,2,0.03,203,101.5,8.83,4.41,6,3,0.26,0.13,6,3,0.26,0.13
HK,Television,HK|Television,41.00,37.00,5.00,5.00,151.00,90%,4.08,30.2,0.82,20,0.13,13,0.09,55,11,1.49,0.3,6,1.2,0.16,0.03,41,8.2,1.11,0.22
HR,Television,HR|Television,41.00,8.00,1.00,1.00,13.00,20%,1.63,13,1.63,1,0.08,0,0,1,1,0.13,0.13,0,0,0,0,0,0,0,0
HU,Television,HU|Television,41.00,6.00,3.00,1.00,7.00,15%,1.17,7,1.17,64,9.14,2,0.29,15,15,2.5,2.5,0,0,0,0,2,2,0.33,0.33
ID,Television,ID|Television,41.00,41.00,26.00,23.00,55929.00,100%,"1,364.12","2,431.70",59.31,"6,080",0.11,653,0.01,"37,228","1,618.61",908,39.48,57,2.48,1.39,0.06,"5,631",244.83,137.34,5.97
IE,Television,IE|Television,41.00,41.00,82.00,74.00,11151.00,100%,271.98,150.69,3.68,"6,505",0.58,"3,001",0.27,"9,577",129.42,233.59,3.16,246,3.32,6,0.08,375,5.07,9.15,0.12
IL,Television,IL|Television,41.00,41.00,7.00,6.00,4488.00,100%,109.46,748,18.24,593,0.13,162,0.04,"1,053",175.5,25.68,4.28,1,0.17,0.02,0,532,88.67,12.98,2.16
IM,Television,IM|Television,41.00,0.00,1.00,0.00,0.00,0%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,Television,IN|Television,41.00,41.00,136.00,129.00,41689.00,100%,"1,016.80",323.17,7.88,"11,311",0.27,"3,952",0.09,"22,605",175.23,551.34,4.27,"1,272",9.86,31.02,0.24,"1,638",12.7,39.95,0.31
IQ,Television,IQ|Television,41.00,40.00,1.00,0.00,2133.00,98%,53.33,0,0,47,0.02,1,0,757,0,18.93,0,0,0,0,0,90,0,2.25,0
IR,Television,IR|Television,41.00,38.00,1.00,1.00,130.00,93%,3.42,130,3.42,63,0.48,55,0.42,152,152,4,4,0,0,0,0,4,4,0.11,0.11
IT,Television,IT|Television,41.00,41.00,207.00,173.00,37434.00,100%,913.02,216.38,5.28,"18,023",0.48,"5,143",0.14,"28,401",164.17,692.71,4,"1,691",9.77,41.24,0.24,862,4.98,21.02,0.12
JO,Television,JO|Television,41.00,41.00,5.00,4.00,1744.00,100%,42.54,436,10.63,418,0.24,400,0.23,827,206.75,20.17,5.04,1,0.25,0.02,0.01,348,87,8.49,2.12
JP,Television,JP|Television,41.00,41.00,977.00,880.00,89328.00,100%,"2,178.73",101.51,2.48,"38,662",0.43,"34,113",0.38,"58,304",66.25,"1,422.05",1.62,175,0.2,4.27,0,"1,339",1.52,32.66,0.04
KE,Television,KE|Television,41.00,41.00,23.00,22.00,28390.00,100%,692.44,"1,290.45",31.47,"17,209",0.61,"18,604",0.66,"24,472","1,112.36",596.88,27.13,44,2,1.07,0.05,333,15.14,8.12,0.37
KR,Television,KR|Television,41.00,41.00,144.00,72.00,4116.00,100%,100.39,57.17,1.39,629,0.15,699,0.17,"2,980",41.39,72.68,1.01,66,0.92,1.61,0.02,115,1.6,2.8,0.04
KW,Television,KW|Television,41.00,40.00,5.00,5.00,239.00,98%,5.98,47.8,1.2,153,0.64,87,0.36,107,21.4,2.68,0.54,2,0.4,0.05,0.01,15,3,0.38,0.08
LB,Television,LB|Television,41.00,41.00,45.00,35.00,5223.00,100%,127.39,149.23,3.64,"2,804",0.54,449,0.09,"3,999",114.26,97.54,2.79,17,0.49,0.41,0.01,180,5.14,4.39,0.13
LT,Television,LT|Television,41.00,25.00,1.00,1.00,38.00,61%,1.52,38,1.52,2,0.05,0,0,25,25,1,1,0,0,0,0,1,1,0.04,0.04
LU,Television,LU|Television,41.00,23.00,1.00,1.00,52.00,56%,2.26,52,2.26,79,1.52,2,0.04,53,53,2.3,2.3,0,0,0,0,0,0,0,0
MA,Television,MA|Television,41.00,41.00,2.00,2.00,119.00,100%,2.9,59.5,1.45,48,0.4,30,0.25,33,16.5,0.8,0.4,3,1.5,0.07,0.04,1,0.5,0.02,0.01
MC,Television,MC|Television,41.00,41.00,2.00,2.00,394.00,100%,9.61,197,4.8,55,0.14,2,0.01,434,217,10.59,5.29,6,3,0.15,0.07,6,3,0.15,0.07
ME,Television,ME|Television,41.00,25.00,1.00,1.00,38.00,61%,1.52,38,1.52,15,0.39,0,0,21,21,0.84,0.84,1,1,0.04,0.04,0,0,0,0
MN,Television,MN|Television,41.00,41.00,4.00,4.00,1927.00,100%,47,481.75,11.75,466,0.24,"1,056",0.55,"1,905",476.25,46.46,11.62,0,0,0,0,93,23.25,2.27,0.57
